"","no rank","superkingdom","phylum","class","order","family","genus","species","subphylum","name_id"
"131","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Metallosphaera","Metallosphaera sedula",NA,"Metallosphaera sedula DSM 5348|399549"
"132","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Metallosphaera","Metallosphaera sedula",NA,"Metallosphaera sedula|43687"
"133","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Metallosphaera","Metallosphaera sedula",NA,"Metallosphaera sedula|43687"
"134","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Metallosphaera","Metallosphaera sedula",NA,"Metallosphaera sedula|43687"
"135","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Metallosphaera","Metallosphaera sedula",NA,"Metallosphaera sedula|43687"
"136","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Metallosphaera","Metallosphaera sedula",NA,"Metallosphaera sedula|43687"
"137","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Metallosphaera","Metallosphaera sedula",NA,"Metallosphaera sedula|43687"
"138","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natronobacterium","Natronobacterium gregoryi",NA,"Natronobacterium gregoryi SP2|797304"
"139","cellular organisms","Archaea","Thaumarchaeota",NA,"Cenarchaeales","Cenarchaeaceae","Cenarchaeum","Cenarchaeum symbiosum",NA,"Cenarchaeum symbiosum A|414004"
"140","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Metallosphaera","Metallosphaera prunae",NA,"Metallosphaera prunae|47304"
"141","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus profundus",NA,"Thermococcus profundus|49899"
"142","cellular organisms","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Thermoplasmataceae","Thermoplasma","Thermoplasma volcanium",NA,"Thermoplasma volcanium GSS1|273116"
"143","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Haloarcula","Haloarcula hispanica",NA,"Haloarcula hispanica ATCC 33960|634497"
"144","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Haloarcula","Haloarcula hispanica",NA,"Haloarcula hispanica N601|1417673"
"145","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus peptonophilus",NA,"Thermococcus peptonophilus|53952"
"146","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","Pyrococcus horikoshii",NA,"Pyrococcus horikoshii OT3|70601"
"147","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus barossii",NA,"Thermococcus barossii|54077"
"148","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanolacinia","Methanolacinia petrolearia",NA,"Methanolacinia petrolearia DSM 11571|679926"
"149","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Pyrodictiaceae","Hyperthermus","Hyperthermus butylicus",NA,"Hyperthermus butylicus DSM 5456|415426"
"150","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Pyrodictiaceae","Pyrolobus","Pyrolobus fumarii",NA,"Pyrolobus fumarii 1A|694429"
"151","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Thermosphaera","Thermosphaera aggregans",NA,"Thermosphaera aggregans DSM 11486|633148"
"152","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Ignicoccus","Ignicoccus islandicus",NA,"Ignicoccus islandicus DSM 13165|940295"
"153","cellular organisms","Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Ferroglobus","Ferroglobus placidus",NA,"Ferroglobus placidus DSM 10642|589924"
"154","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus chitonophagus",NA,"Thermococcus chitonophagus|54262"
"155","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus chitonophagus",NA,"Thermococcus chitonophagus|54262"
"156","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus barophilus",NA,"Thermococcus barophilus MP|391623"
"157","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus barophilus",NA,"Thermococcus barophilus|55802"
"158","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Aeropyrum","Aeropyrum pernix",NA,"Aeropyrum pernix K1|272557"
"159","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halomicrobium","Halomicrobium mukohataei",NA,"Halomicrobium mukohataei DSM 12286|485914"
"160","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halomicrobium","Halomicrobium mukohataei",NA,"Halomicrobium mukohataei|57705"
"161","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halomicrobium","Halomicrobium mukohataei",NA,"Halomicrobium mukohataei|57705"
"162","cellular organisms","Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Archaeoglobus","Archaeoglobus veneficus",NA,"Archaeoglobus veneficus SNP6|693661"
"163","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacterium subterraneum",NA,"Methanobacterium subterraneum|59277"
"164","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacterium subterraneum",NA,"Methanobacterium subterraneum|59277"
"165","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Halogeometricum","Halogeometricum borinquense",NA,"Halogeometricum borinquense DSM 11551|469382"
"166","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natronorubrum","Natronorubrum bangense",NA,"Natronorubrum bangense|61858"
"167","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Haloterrigena","Haloterrigena turkmenica",NA,"Haloterrigena turkmenica DSM 5511|543526"
"168","cellular organisms","Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanocaldococcaceae","Methanocaldococcus","Methanocaldococcus infernus",NA,"Methanocaldococcus infernus ME|573063"
"169","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrinema","Natrinema pellirubrum",NA,"Natrinema pellirubrum DSM 15624|797303"
"170","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrinema","Natrinema pallidum",NA,"Natrinema pallidum|69527"
"171","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfurisphaera","Sulfurisphaera ohwakuensis",NA,"Sulfurisphaera ohwakuensis|69656"
"172","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Pyrobaculum","Pyrobaculum neutrophilum",NA,"Pyrobaculum neutrophilum V24Sta|444157"
"173","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus gorgonarius",NA,"Thermococcus gorgonarius|71997"
"174","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus pacificus",NA,"Thermococcus pacificus|71998"
"175","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus siculi",NA,"Thermococcus siculi|72803"
"176","cellular organisms","Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanocaldococcaceae","Methanocaldococcus","Methanocaldococcus vulcanius",NA,"Methanocaldococcus vulcanius M7|579137"
"177","cellular organisms","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Ferroplasmaceae","Ferroplasma","Ferroplasma acidiphilum",NA,"Ferroplasma acidiphilum|74969"
"178","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Caldivirga","Caldivirga maquilingensis",NA,"Caldivirga maquilingensis IC-167|397948"
"179","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Metallosphaera","Metallosphaera hakonensis",NA,"Metallosphaera hakonensis JCM 8857 = DSM 7519|1293036"
"180","cellular organisms","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Picrophilaceae","Picrophilus","Picrophilus torridus",NA,"Picrophilus torridus DSM 9790|263820"
"181","cellular organisms","Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanocaldococcaceae","Methanocaldococcus","Methanocaldococcus fervens",NA,"Methanocaldococcus fervens AG86|573064"
"182","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter ruminantium",NA,"Methanobrevibacter ruminantium M1|634498"
"183","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanocorpusculaceae","Methanocorpusculum","Methanocorpusculum labreanum",NA,"Methanocorpusculum labreanum Z|410358"
"184","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanoculleus","Methanoculleus bourgensis",NA,"Methanoculleus bourgensis MS2|1201294"
"185","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanoculleus","Methanoculleus bourgensis",NA,"Methanoculleus bourgensis|83986"
"186","cellular organisms","Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Archaeoglobus","Archaeoglobus profundus",NA,"Archaeoglobus profundus DSM 5631|572546"
"187","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Staphylothermus","Staphylothermus hellenicus",NA,"Staphylothermus hellenicus DSM 12710|591019"
"188","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanoculleus","Methanoculleus sp. MAB1",NA,"Methanoculleus sp. MAB1|86622"
"189","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrinema","Natrinema versiforme",NA,"Natrinema versiforme|88724"
"190","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Desulfurococcus","Desulfurococcus amylolyticus",NA,"Desulfurococcus amylolyticus 1221n|490899"
"191","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Desulfurococcus","Desulfurococcus amylolyticus",NA,"Desulfurococcus amylolyticus DSM 16532|768672"
"192","cellular organisms","Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Ferroplasmaceae","Ferroplasma","Ferroplasma acidarmanus",NA,"Ferroplasma acidarmanus fer1|333146"
"193","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Pyrobaculum","Pyrobaculum oguniense",NA,"Pyrobaculum oguniense TE7|698757"
"194","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanomethylovorans","Methanomethylovorans hollandica",NA,"Methanomethylovorans hollandica DSM 15978|867904"
"195","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus guaymasensis",NA,"Thermococcus guaymasensis DSM 11113|1432656"
"196","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfurisphaera","Sulfurisphaera tokodaii",NA,"Sulfurisphaera tokodaii str. 7|273063"
"197","cellular organisms","Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Geoglobus","Geoglobus ahangari",NA,"Geoglobus ahangari|113653"
"198","cellular organisms","Archaea",NA,NA,NA,NA,NA,"uncultured archaeon",NA,"uncultured archaeon|115547"
"199","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacterium congolense",NA,"Methanobacterium congolense|118062"
"200","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Pyrobaculum","Pyrobaculum arsenaticum",NA,"Pyrobaculum arsenaticum DSM 13514|340102"
"201","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus sp. P6",NA,"Thermococcus sp. P6|122420"
"202","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanothermobacter","Methanothermobacter wolfeii",NA,"Methanothermobacter wolfeii|145261"
"203","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanothermobacter","Methanothermobacter thermautotrophicus",NA,"Methanothermobacter thermautotrophicus str. Delta H|187420"
"204","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanothermobacter","Methanothermobacter marburgensis",NA,"Methanothermobacter marburgensis str. Marburg|79929"
"205","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halorhabdus","Halorhabdus utahensis",NA,"Halorhabdus utahensis DSM 12940|519442"
"206","cellular organisms","Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanothermococcus","Methanothermococcus okinawensis",NA,"Methanothermococcus okinawensis IH1|647113"
"207","cellular organisms","Archaea","Nanoarchaeota",NA,"Nanoarchaeales","Nanoarchaeaceae","Nanoarchaeum","Nanoarchaeum equitans",NA,"Nanoarchaeum equitans Kin4-M|228908"
"208","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Ignicoccus","Ignicoccus hospitalis",NA,"Ignicoccus hospitalis KIN4/I|453591"
"209","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus cleftensis",NA,"Thermococcus cleftensis|163003"
"210","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Vulcanisaeta","Vulcanisaeta distributa",NA,"Vulcanisaeta distributa DSM 14429|572478"
"211","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina lacustris",NA,"Methanosarcina lacustris Z-7289|1434111"
"212","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus sibiricus",NA,"Thermococcus sibiricus MM 739|604354"
"213","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Pyrobaculum","Pyrobaculum calidifontis",NA,"Pyrobaculum calidifontis JCM 11548|410359"
"214","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Thermoproteus","Thermoproteus uzoniensis",NA,"Thermoproteus uzoniensis 768-20|999630"
"215","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus gammatolerans",NA,"Thermococcus gammatolerans EJ3|593117"
"216","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus radiotolerans",NA,"Thermococcus radiotolerans|187880"
"217","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus nautili",NA,"Thermococcus nautili|195522"
"218","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Acidilobales","Caldisphaeraceae","Caldisphaera","Caldisphaera lagunensis",NA,"Caldisphaera lagunensis DSM 15908|1056495"
"219","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter sp. AbM4",NA,"Methanobrevibacter sp. AbM4|224719"
"220","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Halobiforma","Halobiforma lacisalsi",NA,"Halobiforma lacisalsi AJ5|358396"
"221","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Aeropyrum","Aeropyrum camini",NA,"Aeropyrum camini SY1 = JCM 12091|1198449"
"222","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter millerae",NA,"Methanobrevibacter millerae|230361"
"223","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Acidilobales","Acidilobaceae","Acidilobus","Acidilobus saccharovorans",NA,"Acidilobus saccharovorans 345-15|666510"
"224","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus sp. AM4",NA,"Thermococcus sp. AM4|246969"
"225","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae","Methanolinea","Methanolinea tarda",NA,"Methanolinea tarda NOBI-1|882090"
"226","cellular organisms","Archaea","Euryarchaeota","Candidatus Poseidoniia","Candidatus Poseidoniales",NA,NA,"uncultured Candidatus Poseidoniales archaeon",NA,"uncultured Candidatus Poseidoniales archaeon|274854"
"227","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus thioreducens",NA,"Thermococcus thioreducens|277988"
"228","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","Acidianus manzaensis",NA,"Acidianus manzaensis|282676"
"229","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloquadratum","Haloquadratum walsbyi",NA,"Haloquadratum walsbyi DSM 16790|362976"
"230","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Haloferacales","Haloferacaceae","Haloquadratum","Haloquadratum walsbyi",NA,"Haloquadratum walsbyi C23|768065"
"231","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter olleyae",NA,"Methanobrevibacter olleyae|294671"
"232","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanotrichaceae","Methanothrix","Methanosaeta harundinacea",NA,"Methanosaeta harundinacea 6Ac|1110509"
"233","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus kodakarensis",NA,"Thermococcus kodakarensis KOD1|69014"
"234","cellular organisms","Archaea","Thaumarchaeota",NA,NA,NA,"Candidatus Caldiarchaeum","Candidatus Caldiarchaeum subterraneum",NA,"Candidatus Caldiarchaeum subterraneum|311458"
"235","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","Acidianus sulfidivorans",NA,"Acidianus sulfidivorans JP7|619593"
"236","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Ignisphaera","Ignisphaera aggregans",NA,"Ignisphaera aggregans DSM 17230|583356"
"237","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halorubrum","Halorubrum ezzemoulense",NA,"Halorubrum ezzemoulense|337243"
"238","cellular organisms","Archaea","Thaumarchaeota",NA,"Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus maritimus",NA,"Nitrosopumilus maritimus SCM1|436308"
"239","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus onnurineus",NA,"Thermococcus onnurineus NA1|523850"
"240","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Pyrococcus","Pyrococcus sp. NA2",NA,"Pyrococcus sp. NA2|342949"
"241","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natronorubrum","Natronorubrum aibiense",NA,"Natronorubrum aibiense|348826"
"242","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Halostagnicola","Halostagnicola larsenii",NA,"Halostagnicola larsenii XH-48|797299"
"243","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae","Methanoregula","Methanoregula boonei",NA,"Methanoregula boonei 6A8|456442"
"244","cellular organisms","Archaea","Euryarchaeota",NA,NA,NA,"Aciduliprofundum","Aciduliprofundum boonei",NA,"Aciduliprofundum boonei T469|439481"
"245","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Halovivax","Halovivax ruber",NA,"Halovivax ruber XH-70|797302"
"246","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Halopiger","Halopiger xanaduensis",NA,"Halopiger xanaduensis SH-6|797210"
"247","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrinema","Natrinema sp. J7-2",NA,"Natrinema sp. J7-2|406552"
"248","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halalkalicoccus","Halalkalicoccus jeotgali",NA,"Halalkalicoccus jeotgali B3|795797"
"249","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Haloterrigena","Haloterrigena jeotgali",NA,"Haloterrigena jeotgali|413811"
"250","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Natronomonas","Natronomonas moolapensis",NA,"Natronomonas moolapensis 8.8.11|268739"
"251","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina horonobensis",NA,"Methanosarcina horonobensis HB-1 = JCM 15518|1434110"
"252","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanolobus","Methanolobus psychrophilus",NA,"Methanolobus psychrophilus R15|1094980"
"253","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halorhabdus","Halorhabdus tiamatea",NA,"Halorhabdus tiamatea SARL4B|1033806"
"254","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae","Methanosphaerula","Methanosphaerula palustris",NA,"Methanosphaerula palustris E1-9c|521011"
"255","cellular organisms","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","Candidatus Nitrososphaera gargensis",NA,"Candidatus Nitrososphaera gargensis Ga9.2|1237085"
"256","cellular organisms","Archaea","Candidatus Korarchaeota",NA,NA,NA,"Candidatus Korarchaeum","Candidatus Korarchaeum cryptofilum",NA,"Candidatus Korarchaeum cryptofilum OPF8|374847"
"257","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","Acidianus hospitalis",NA,"Acidianus hospitalis W1|933801"
"258","cellular organisms","Archaea","Euryarchaeota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","Geoglobus","Geoglobus acetivorans",NA,"Geoglobus acetivorans|565033"
"259","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanocellales","Methanocellaceae","Methanocella","Methanocella paludicola",NA,"Methanocella paludicola SANAE|304371"
"260","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus paralvinellae",NA,"Thermococcus paralvinellae|582419"
"261","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Haloterrigena","Haloterrigena daqingensis",NA,"Haloterrigena daqingensis|588898"
